,customerid,systemloanid,loannumber,approveddate,creationdate,loanamount,totaldue,termdays,closeddate,referredby,firstduedate,firstrepaiddate,diff_approv_closed_date,Good_bad_flag,num_prest
17,8a858e5357d823010157d932443d28a3,301823070,8,2017-02-21 10:05:57,2017-02-21 09:05:47,30000.0,34400.0,30,2017-03-23 01:24:33,,2017-03-23 00:00:00,2017-03-23 01:00:03,29,Good,12
18,8a858e5357d823010157d932443d28a3,301746324,1,2016-10-18 20:12:21,2016-10-18 19:11:59,10000.0,13000.0,30,2016-11-18 14:39:25,,2016-11-18 00:00:00,2016-11-18 14:24:16,30,Good,12
19,8a858e645755e62201576b58e3522081,301893833,2,2017-05-07 13:31:41,2017-05-07 12:31:34,10000.0,13000.0,30,2017-06-12 19:20:35,,2017-06-06 00:00:00,2017-06-12 19:10:27,36,Bad,2
20,8a858e705668e16701567f1523211e5a,301760203,7,2016-11-16 15:47:24,2016-11-16 14:47:06,30000.0,34400.0,30,2016-12-14 15:10:34,,2016-12-16 00:00:00,2016-12-14 14:55:25,27,Good,14
21,8a858e705668e16701567f1523211e5a,301773842,8,2016-12-14 17:17:45,2016-12-14 16:17:36,30000.0,34400.0,30,2017-01-12 17:45:44,,2017-01-13 00:00:00,2017-01-12 17:30:35,29,Good,14
22,8a858e705668e16701567f1523211e5a,301743521,5,2016-10-13 16:32:45,2016-10-13 15:32:37,20000.0,22250.0,15,2016-10-25 19:32:42,,2016-10-28 00:00:00,2016-10-25 19:17:32,12,Good,14
23,8a858e7d595026f8015951c0c4a03fae,301821269,4,2017-02-18 19:35:26,2017-02-18 18:35:19,20000.0,21900.0,15,2017-03-02 18:25:45,,2017-03-06 00:00:00,2017-03-02 18:10:35,11,Good,9
24,8a858e7d595026f8015951c0c4a03fae,301849357,7,2017-03-29 14:39:02,2017-03-29 13:38:55,30000.0,34400.0,30,2017-04-28 10:47:35,,2017-04-28 00:00:00,2017-04-28 10:32:26,29,Good,9
25,8a858e7d595026f8015951c0c4a03fae,301838900,6,2017-03-15 16:22:04,2017-03-15 15:21:57,20000.0,21900.0,15,2017-03-29 14:29:03,,2017-03-30 00:00:00,2017-03-29 14:13:49,13,Good,9
26,8a858e9b5a195041015a1a602a51519d,301841389,2,2017-03-18 23:52:27,2017-03-18 22:52:21,10000.0,11500.0,15,2017-04-03 15:12:38,,2017-04-03 00:00:00,2017-04-03 14:57:30,15,Good,6
27,8a858e9b5a195041015a1a602a51519d,301934962,5,2017-06-11 16:22:23,2017-06-11 15:22:17,20000.0,22250.0,15,2017-06-23 20:25:07,,2017-06-26 00:00:00,2017-06-23 20:14:58,12,Good,6
28,8a858eb05d2d1297015d313b03581809,301990473,1,2017-07-22 09:53:00,2017-07-22 08:52:42,10000.0,13000.0,30,2017-07-27 16:08:28,,2017-08-22 00:00:00,2017-07-27 15:58:18,5,Good,1
29,8a858ec75bfd77c4015c0d841520351c,301924078,2,2017-06-01 15:33:35,2017-06-01 14:33:28,10000.0,11500.0,15,2017-06-16 16:26:12,,2017-06-16 00:00:00,2017-06-16 16:16:04,15,Good,3
30,8a858edb5ad79cc6015ad7c9b29415c8,301930222,4,2017-06-07 15:44:21,2017-06-07 14:44:14,20000.0,24500.0,30,2017-06-28 20:28:31,,2017-07-07 00:00:00,2017-06-28 20:18:22,21,Good,4
31,8a858ee55830c4b90158337542ab18a1,301796623,3,2017-01-19 10:52:42,2017-01-19 09:52:35,10000.0,13000.0,30,2017-03-25 02:35:37,,2017-02-20 00:00:00,2017-03-25 02:20:28,64,Bad,5
32,8a858eec5ca21dcb015ca2493dee1e2d,301940917,1,2017-06-16 12:56:33,2017-06-16 11:55:25,10000.0,13000.0,30,2017-06-23 11:16:26,,2017-07-17 00:00:00,2017-06-23 11:06:16,6,Good,1
33,8a858ef75997d0180159a695b01e2c4c,301915330,3,2017-05-22 11:50:23,2017-05-22 10:50:17,10000.0,13000.0,30,2017-06-21 04:44:47,,2017-06-21 00:00:00,2017-06-21 04:22:06,29,Good,4
34,8a858f03582604ff0158260fcc730548,301920437,8,2017-05-28 17:53:17,2017-05-28 16:53:05,20000.0,24500.0,30,2017-06-28 12:32:43,,2017-06-28 00:00:00,2017-06-28 12:22:35,30,Good,9
35,8a858f03582604ff0158260fcc730548,301821068,4,2017-02-18 14:51:16,2017-02-18 13:51:03,10000.0,11500.0,15,2017-03-03 09:33:33,,2017-03-06 00:00:00,2017-03-03 09:18:22,12,Good,9
36,8a858f085b905684015b906e73a01478,301916890,2,2017-05-24 07:18:26,2017-05-24 06:18:19,10000.0,13000.0,30,2017-06-23 05:01:54,,2017-06-23 00:00:00,2017-06-23 04:35:06,29,Good,3
37,8a858f2656e154de0156e3a87cdc45fb,301918988,3,2017-05-26 16:02:29,2017-05-26 15:02:21,20000.0,24500.0,30,2017-06-20 12:46:40,,2017-06-26 00:00:00,2017-06-20 12:36:30,24,Good,4
38,8a858f3d5add42e2015ae0ca6cb66b83,301954121,7,2017-06-28 05:14:32,2017-06-28 04:14:26,30000.0,34500.0,30,2017-07-26 15:32:00,,2017-07-28 00:00:00,2017-07-26 15:21:51,28,Good,7
39,8a858f3d5add42e2015ae0ca6cb66b83,301919843,6,2017-05-27 18:30:38,2017-05-27 17:30:25,20000.0,24500.0,30,2017-06-24 08:54:30,,2017-06-26 00:00:00,2017-06-24 08:44:21,27,Good,7
40,8a858f4655ca643c0155cbc4e13945cc,301737932,5,2016-10-06 09:40:22,2016-10-06 08:40:11,30000.0,34500.0,30,2016-11-08 11:57:53,,2016-11-07 00:00:00,2016-11-08 11:42:43,33,Bad,14
41,8a858f4655ca643c0155cbc4e13945cc,301686961,3,2016-08-19 10:09:07,2016-08-19 09:08:59,20000.0,24500.0,30,2016-09-18 00:06:43,,2016-09-19 00:00:00,2016-09-17 09:06:13,29,Good,14
42,8a858f4655ca643c0155cbc4e13945cc,301778772,8,2016-12-22 08:52:46,2016-12-22 07:52:25,30000.0,34400.0,30,2017-01-26 16:22:48,,2017-01-23 00:00:00,2017-01-26 16:07:39,35,Bad,14
43,8a858f4655ca643c0155cbc4e13945cc,301674835,2,2016-08-09 16:26:47,2016-08-09 15:26:41,10000.0,13000.0,30,2016-08-19 09:22:52,,2016-09-08 00:00:00,2016-08-19 09:07:48,9,Good,14
44,8a858f555cc65d60015cc72de106320c,301945632,1,2017-06-20 21:40:20,2017-06-20 20:39:12,10000.0,11500.0,15,2017-07-03 21:59:19,8a858e6c5c88d145015c89430ef61a5d,2017-07-06 00:00:00,2017-07-03 21:49:10,13,Good,1
45,8a858f60560bc43d01561d94abd91c48,301936690,2,2017-06-12 23:43:15,2017-06-12 22:42:07,10000.0,13000.0,30,2017-06-26 23:18:18,,2017-07-12 00:00:00,2017-06-26 23:08:09,13,Good,3
46,8a858f6e5aa3c922015aa3d9cba10a74,301939402,4,2017-06-15 09:09:49,2017-06-15 08:08:43,20000.0,22250.0,15,2017-07-04 21:36:18,,2017-07-03 00:00:00,2017-07-04 21:26:10,19,Bad,4
47,8a858f7e564ad338015654d3a5c242a5,301919279,6,2017-05-27 00:53:03,2017-05-26 23:52:57,20000.0,24500.0,30,2017-06-06 09:26:13,,2017-06-26 00:00:00,2017-06-06 09:16:03,10,Good,7
48,8a858f7e564ad338015654d3a5c242a5,301835124,3,2017-03-09 23:29:43,2017-03-09 22:29:37,10000.0,13000.0,30,2017-04-04 15:52:36,,2017-04-10 00:00:00,2017-04-04 15:37:27,25,Good,7
49,8a858f9158aff6a30158b5f2ff887585,301862302,6,2017-04-10 12:11:12,2017-04-10 11:11:05,20000.0,23800.0,30,2017-05-09 20:39:48,,2017-05-10 00:00:00,2017-05-09 20:24:39,29,Good,8
50,8a858f9158aff6a30158b5f2ff887585,301767307,1,2016-11-30 17:07:20,2016-11-30 16:07:07,10000.0,11500.0,15,2016-12-14 07:40:58,,2016-12-16 00:00:00,2016-12-14 07:25:49,13,Good,8
51,8a858f995a4762a5015a4c25b0ea01c3,301867766,3,2017-04-13 22:00:09,2017-04-13 21:00:02,10000.0,13000.0,30,2017-04-26 11:04:20,,2017-05-15 00:00:00,2017-04-26 10:49:11,12,Good,5
52,8a858f995a4762a5015a4c25b0ea01c3,301920228,5,2017-05-28 12:11:37,2017-05-28 11:11:18,20000.0,24500.0,30,2017-06-19 12:03:41,,2017-06-27 00:00:00,2017-06-19 11:53:32,21,Good,5
53,8a858fae5b49223f015b499e1cf9485b,301865971,1,2017-04-12 15:02:29,2017-04-12 14:02:20,10000.0,11500.0,15,2017-04-20 16:02:34,,2017-04-28 00:00:00,2017-04-20 15:47:25,8,Good,3
54,8a858fb15b34a708015b350c4a1a58d2,301936637,2,2017-06-12 22:43:59,2017-06-12 21:43:52,10000.0,13000.0,30,2017-06-23 23:27:32,,2017-07-12 00:00:00,2017-06-23 23:17:23,11,Good,3
55,8a2a81a74ce8c05d014cfb32a0da1049,301923941,10,2017-06-01 13:34:30,2017-06-01 12:34:21,20000.0,24500.0,30,2017-06-25 15:24:06,,2017-07-03 00:00:00,2017-06-25 15:13:56,24,Good,11
56,8a2a81a74ce8c05d014cfb32a0da1049,301954468,11,2017-06-28 10:58:34,2017-06-28 09:58:25,20000.0,24500.0,30,2017-07-25 08:14:36,,2017-07-31 00:00:00,2017-07-25 08:04:27,26,Good,11
57,8a2a81a74ce8c05d014cfb32a0da1049,301777989,6,2016-12-21 19:03:40,2016-12-21 11:02:54,20000.0,23800.0,30,2017-02-28 13:20:29,,2017-01-20 00:00:00,2017-02-28 13:05:11,68,Bad,11
58,8a8588f35438fe12015444567666018e,301901083,6,2017-05-11 12:07:29,2017-05-11 11:07:22,10000.0,11500.0,15,2017-05-26 04:37:49,,2017-05-26 00:00:00,2017-05-26 04:07:34,14,Good,6
59,8a8588f35438fe12015444567666018e,301775359,1,2016-12-17 05:14:12,2016-12-17 04:13:55,10000.0,11500.0,15,2016-12-23 00:32:26,,2017-01-02 00:00:00,2016-12-23 00:17:16,5,Good,6
60,8a858970548359cc0154883481981866,301694829,1,2016-08-25 14:29:26,2016-08-25 13:29:16,10000.0,13000.0,30,2016-09-18 09:49:02,,2016-09-26 00:00:00,2016-09-18 09:33:57,23,Good,8
61,8a858970548359cc0154883481981866,301890627,7,2017-05-05 08:03:59,2017-05-05 07:03:52,30000.0,39000.0,60,2017-06-03 23:57:15,,2017-06-05 00:00:00,2017-06-03 23:47:05,29,Good,8
62,8a8589f35451855401546b0738c42524,301800029,1,2017-01-23 19:52:06,2017-01-23 18:51:58,10000.0,13000.0,30,2017-02-17 07:39:53,,2017-02-22 00:00:00,2017-02-17 07:24:42,24,Good,7
63,8a8589f35451855401546b0738c42524,301819631,2,2017-02-17 08:13:52,2017-02-17 07:13:40,10000.0,13000.0,30,2017-03-16 07:03:43,,2017-03-20 00:00:00,2017-03-16 06:48:32,26,Good,7
64,8a858e1158dc4d830158f7bde4f47ea7,301823683,4,2017-02-21 21:32:56,2017-02-21 20:32:50,20000.0,23800.0,30,2017-03-22 08:51:33,,2017-03-23 00:00:00,2017-03-22 08:36:22,28,Good,9
65,8a858e1158dc4d830158f7bde4f47ea7,301782950,2,2016-12-28 17:01:03,2016-12-28 16:00:54,10000.0,13000.0,30,2017-01-25 23:25:28,,2017-01-27 00:00:00,2017-01-25 23:10:19,28,Good,9
66,8a858e1158dc4d830158f7bde4f47ea7,301773722,1,2016-12-14 15:14:04,2016-12-14 14:13:51,10000.0,11500.0,15,2016-12-27 22:55:00,,2016-12-29 00:00:00,2016-12-27 22:39:50,13,Good,9
67,8a858e1d5cd58f9e015ceda4bdb63673,301954751,1,2017-06-28 13:39:27,2017-06-28 12:38:17,10000.0,11500.0,15,2017-07-10 14:08:26,,2017-07-13 00:00:00,2017-07-10 13:58:17,12,Good,1
68,8a858e395cb1d4d9015cb236b4811cbc,301957201,1,2017-06-30 08:02:29,2017-06-30 07:01:20,10000.0,13000.0,30,2017-07-28 07:07:44,,2017-07-31 00:00:00,2017-07-28 06:57:34,27,Good,1
69,8a858e4456ced8470156dc8f1f4038d3,301826179,6,2017-02-25 12:23:37,2017-02-25 11:23:31,30000.0,34400.0,30,2017-03-24 14:32:24,,2017-03-27 00:00:00,2017-03-24 14:17:14,27,Good,10
70,8a858e4456ced8470156dc8f1f4038d3,301949674,10,2017-06-23 19:56:07,2017-06-23 18:55:00,40000.0,44000.0,30,2017-07-25 16:06:14,,2017-07-24 00:00:00,2017-07-25 15:56:05,31,Bad,10
71,8a858e5357d823010157d932443d28a3,301876572,10,2017-04-22 08:34:05,2017-04-22 07:33:43,30000.0,34400.0,30,2017-05-18 11:42:39,,2017-05-22 00:00:00,2017-05-18 11:27:30,26,Good,12
72,8a858e5357d823010157d932443d28a3,301810788,7,2017-02-06 04:01:06,2017-02-06 03:00:59,20000.0,21900.0,15,2017-02-21 00:46:47,,2017-02-21 00:00:00,2017-02-21 00:21:32,14,Good,12
73,8a858e5357d823010157d932443d28a3,301943526,12,2017-06-19 12:09:23,2017-06-19 11:09:15,40000.0,44000.0,30,2017-07-18 10:37:53,,2017-07-19 00:00:00,2017-07-18 10:27:44,28,Good,12
74,8a858e5b5bd99460015bdf725e143ff4,301927361,2,2017-06-05 09:00:33,2017-06-05 08:00:26,10000.0,13000.0,30,2017-07-05 05:43:23,,2017-07-05 00:00:00,2017-07-05 04:42:39,29,Good,2
75,8a858e705668e16701567f1523211e5a,301750035,6,2016-10-26 13:16:16,2016-10-26 12:16:07,30000.0,32250.0,15,2016-11-10 01:34:39,,2016-11-10 00:00:00,2016-11-10 01:19:29,14,Good,14
76,8a858e705668e16701567f1523211e5a,301733094,4,2016-09-30 09:20:10,2016-09-30 08:20:02,20000.0,22250.0,15,2016-10-10 10:31:36,,2016-10-17 00:00:00,2016-10-10 10:16:26,10,Good,14
77,8a858e705668e16701567f1523211e5a,301872588,12,2017-04-18 19:31:45,2017-04-18 18:31:39,40000.0,44800.0,30,2017-05-16 13:09:32,,2017-05-18 00:00:00,2017-05-16 12:54:22,27,Good,14
78,8a858e705668e16701567f1523211e5a,301792732,9,2017-01-13 12:45:28,2017-01-13 11:45:15,30000.0,34400.0,30,2017-02-12 13:34:40,,2017-02-13 00:00:00,2017-02-12 13:19:29,30,Good,14
79,8a858e7d595026f8015951c0c4a03fae,301796388,2,2017-01-18 22:23:24,2017-01-18 21:23:16,10000.0,11500.0,15,2017-01-26 14:36:45,,2017-02-02 00:00:00,2017-01-26 14:21:34,7,Good,9
80,8a858e7d595026f8015951c0c4a03fae,301883320,8,2017-04-28 12:14:11,2017-04-28 11:13:58,30000.0,34400.0,30,2017-05-31 14:35:08,,2017-05-30 00:00:00,2017-05-31 14:24:59,33,Bad,9
81,8a858e885c17687c015c19eead6338fd,301914007,1,2017-05-20 08:18:00,2017-05-20 07:16:52,10000.0,13000.0,30,2017-06-05 14:23:16,8a858ff85bd93919015bda56605652bd,2017-06-19 00:00:00,2017-06-05 14:13:07,16,Good,2
82,8a858e9b5a195041015a1a602a51519d,301925994,4,2017-06-03 12:24:36,2017-06-03 11:24:29,10000.0,11125.0,15,2017-06-03 12:44:39,,2017-06-19 00:00:00,2017-06-03 12:34:30,0,Good,6
83,8a858ea555d9e6020155f489c9b237f8,301877130,1,2017-04-22 18:29:01,2017-04-22 17:28:49,10000.0,13000.0,30,2017-05-22 03:00:08,,2017-05-22 00:00:00,2017-05-22 02:07:57,29,Good,2
84,8a858eb85c1be44c015c1c4b667d25ee,301932629,2,2017-06-09 12:31:27,2017-06-09 11:31:20,10000.0,13000.0,30,2017-06-27 17:45:57,,2017-07-10 00:00:00,2017-06-27 17:35:46,18,Good,2
85,8a858ed35cc5ce51015cc60f40f522b4,301945239,1,2017-06-20 16:58:01,2017-06-20 15:56:53,10000.0,11500.0,15,2017-06-30 13:26:20,8a858edc59ee87640159eeb9774f1aa7,2017-07-06 00:00:00,2017-06-30 13:16:11,9,Good,1
86,8a858edb5ad79cc6015ad7c9b29415c8,301895586,3,2017-05-08 14:10:56,2017-05-08 13:10:49,10000.0,13000.0,30,2017-05-30 13:29:51,,2017-06-07 00:00:00,2017-05-30 13:19:42,21,Good,4
87,8a858ee55830c4b90158337542ab18a1,301846110,4,2017-03-25 02:36:12,2017-03-25 01:35:55,10000.0,13000.0,30,2017-05-11 19:18:02,,2017-04-24 00:00:00,2017-05-11 19:02:53,47,Bad,5
88,8a858ef75997d0180159a695b01e2c4c,301945905,4,2017-06-21 06:51:08,2017-06-21 05:50:01,20000.0,24500.0,30,2017-07-21 13:34:30,,2017-07-21 00:00:00,2017-07-21 13:24:21,30,Good,4
89,8a858f03582604ff0158260fcc730548,301797413,3,2017-01-20 10:51:44,2017-01-20 09:51:36,10000.0,11500.0,15,2017-02-06 00:56:58,,2017-02-06 00:00:00,2017-02-06 00:21:36,16,Bad,9
90,8a858f03582604ff0158260fcc730548,301954906,9,2017-06-28 15:17:16,2017-06-28 14:17:10,20000.0,24500.0,30,2017-07-28 20:19:40,,2017-07-28 00:00:00,2017-07-28 20:09:32,30,Good,9
91,8a858f085b905684015b906e73a01478,301955292,3,2017-06-28 19:34:11,2017-06-28 18:34:05,10000.0,13000.0,30,2017-07-28 02:23:21,,2017-07-28 00:00:00,2017-07-28 01:47:38,29,Good,3
92,8a858f2656e154de0156e3a87cdc45fb,301701657,1,2016-09-01 03:53:29,2016-09-01 02:53:19,10000.0,13000.0,30,2016-10-04 15:25:41,,2016-10-03 00:00:00,2016-10-04 15:10:32,33,Bad,4
93,8a858f2e5c699f3a015c6cf27a036477,301927665,1,2017-06-05 13:28:46,2017-06-05 12:28:30,10000.0,13000.0,30,2017-06-29 18:46:56,8a858fc55b2548dd015b286e452c678c,2017-07-05 00:00:00,2017-06-29 18:36:47,24,Good,1
94,8a858f3d5add42e2015ae0ca6cb66b83,301887383,4,2017-05-02 16:50:56,2017-05-02 15:50:48,20000.0,21900.0,15,2017-05-12 15:43:00,,2017-05-17 00:00:00,2017-05-12 15:27:51,9,Good,7
95,8a858f3d5add42e2015ae0ca6cb66b83,301869437,3,2017-04-15 15:15:32,2017-04-15 14:15:25,10000.0,11500.0,15,2017-04-26 19:59:11,,2017-05-02 00:00:00,2017-04-26 19:44:02,11,Good,7
96,8a858f4655ca643c0155cbc4e13945cc,301830101,10,2017-03-02 17:32:00,2017-03-02 16:31:54,40000.0,44800.0,30,2017-04-06 13:01:43,,2017-04-03 00:00:00,2017-04-06 12:46:34,34,Bad,14
97,8a858f4655ca643c0155cbc4e13945cc,301857808,11,2017-04-06 13:09:51,2017-04-06 12:09:38,40000.0,44800.0,30,2017-05-05 16:39:40,,2017-05-08 00:00:00,2017-05-05 16:24:31,29,Good,14
98,8a858f4655ca643c0155cbc4e13945cc,301923147,13,2017-05-31 17:11:23,2017-05-31 16:11:16,40000.0,44000.0,30,2017-06-26 17:22:34,,2017-06-30 00:00:00,2017-06-26 17:12:25,26,Good,14
99,8a858f4f5511dca201551b73634170b6,301951170,3,2017-06-25 09:39:37,2017-06-25 08:39:20,10000.0,13000.0,30,2017-07-26 15:57:28,,2017-07-25 00:00:00,2017-07-26 15:47:19,31,Bad,3
100,8a858f5e599783c0015997c56ef70ffa,301808589,2,2017-02-02 14:41:20,2017-02-02 13:41:14,10000.0,11500.0,15,2017-02-16 16:29:18,,2017-02-17 00:00:00,2017-02-16 16:14:08,14,Good,2
101,8a858f6e5aa3c922015aa3d9cba10a74,301842945,2,2017-03-21 08:21:33,2017-03-21 07:21:26,10000.0,11500.0,15,2017-04-04 20:38:06,,2017-04-05 00:00:00,2017-04-04 20:22:57,14,Good,4
102,8a858f785cea234f015cea434e0a09e6,301953730,1,2017-06-27 17:14:51,2017-06-27 16:13:43,10000.0,11500.0,15,2017-07-12 13:10:23,8a858eba5c884d2a015c8bea59385157,2017-07-12 00:00:00,2017-07-12 13:00:13,14,Good,1
103,8a858f7e564ad338015654d3a5c242a5,301855399,4,2017-04-04 21:41:05,2017-04-04 20:40:59,10000.0,13000.0,30,2017-05-03 12:48:55,,2017-05-04 00:00:00,2017-05-03 12:33:45,28,Good,7
104,8a858f9158aff6a30158b5f2ff887585,301773695,2,2016-12-14 14:39:30,2016-12-14 13:39:20,10000.0,13000.0,30,2017-01-13 01:02:24,,2017-01-13 00:00:00,2017-01-13 00:34:34,29,Good,8
105,8a858f9158aff6a30158b5f2ff887585,301840565,5,2017-03-17 17:13:36,2017-03-17 16:13:22,20000.0,23800.0,30,2017-04-06 08:46:35,,2017-04-17 00:00:00,2017-04-06 08:31:26,19,Good,8
106,8a858f975c4582c4015c550ee4925686,301921298,1,2017-05-29 17:54:55,2017-05-29 16:54:42,10000.0,13000.0,30,2017-06-26 08:46:03,,2017-06-28 00:00:00,2017-06-26 08:35:54,27,Good,2
107,8a858f995a4762a5015a4c25b0ea01c3,301883811,4,2017-04-28 18:42:41,2017-04-28 17:42:34,20000.0,23800.0,30,2017-05-28 11:37:00,,2017-05-30 00:00:00,2017-05-28 11:26:51,29,Good,5
108,8a858fa45bd95e9a015be131cdec35a8,301912857,1,2017-05-18 17:39:39,2017-05-18 16:38:31,10000.0,11500.0,15,2017-06-01 08:14:47,,2017-06-02 00:00:00,2017-06-01 08:04:37,13,Good,2
109,8a858fc55b2fde30015b30c9256b43fd,301852878,1,2017-04-03 08:22:14,2017-04-03 07:22:03,10000.0,13000.0,30,2017-05-01 09:25:31,,2017-05-03 00:00:00,2017-05-01 09:10:20,28,Good,4
110,8a858fd45a4260bc015a42ac9e89278d,301915839,3,2017-05-22 21:37:22,2017-05-22 20:36:15,10000.0,13000.0,30,2017-06-01 22:43:50,,2017-06-21 00:00:00,2017-06-01 22:33:40,10,Good,4
111,8a858fe45cd62cbf015cdfb7b59f05f4,301951715,1,2017-06-25 20:58:21,2017-06-25 19:57:13,10000.0,13000.0,30,2017-07-06 10:22:55,8a858fba5cd5feee015cdf5025e10f56,2017-07-26 00:00:00,2017-07-06 10:12:46,10,Good,1
112,8a858ff8582fcb8601583e9ee74e1732,301801757,2,2017-01-25 16:01:44,2017-01-25 15:01:37,10000.0,13000.0,30,2017-02-24 01:02:41,,2017-02-24 00:00:00,2017-02-24 00:35:34,29,Good,5
113,8a858e105bd92644015be762bf10576f,301895331,1,2017-05-08 11:54:28,2017-05-08 10:53:58,10000.0,11500.0,15,2017-05-23 12:49:05,8a858e185b4923b4015b536354895cae,2017-05-23 00:00:00,2017-05-23 12:33:57,15,Good,2
114,8a858ed1594a282f01594a4d14f50a58,301953671,1,2017-06-27 16:29:32,2017-06-27 15:28:23,10000.0,13000.0,30,2017-07-24 10:38:23,,2017-07-28 00:00:00,2017-07-24 10:28:13,26,Good,1
115,8a858f5f5b39bb0c015b3b298dd1358b,301944135,3,2017-06-19 20:58:28,2017-06-19 19:58:22,10000.0,11500.0,15,2017-07-12 08:44:42,,2017-07-04 00:00:00,2017-07-12 08:34:33,22,Bad,3
116,8a858f9c57f74b1d0157f753c181047e,301922686,9,2017-05-31 10:03:53,2017-05-31 09:03:40,30000.0,34500.0,30,2017-06-30 17:42:59,,2017-06-30 00:00:00,2017-06-30 17:32:50,30,Good,10
117,8a858f9c57f74b1d0157f753c181047e,301887692,8,2017-05-02 21:20:20,2017-05-02 20:20:13,30000.0,34400.0,30,2017-05-31 09:55:13,,2017-06-01 00:00:00,2017-05-31 09:45:03,28,Good,10
118,8a858fe25ab3f041015ab51fc3c44cbd,301875898,2,2017-04-21 15:00:14,2017-04-21 14:00:08,10000.0,13000.0,30,2017-05-16 13:19:39,,2017-05-22 00:00:00,2017-05-16 13:04:30,24,Good,3
119,8a8189d152443f820152443f89500001,301673341,6,2016-08-08 12:47:15,2016-08-08 11:46:35,20000.0,24500.0,30,2016-10-28 10:02:05,,2016-09-07 00:00:00,2016-10-28 09:46:56,80,Bad,12
